Cityname,Year,Month,disDay,disQuantity(ton),disCount
Ulsan,2017,10,Sun,20.8302,13058
Ulsan,2017,10,Mon,23.01045,14669
Ulsan,2017,10,Tues,21.2595,13808
Ulsan,2017,10,Wed,14.77295,9983
Ulsan,2017,10,Thu,13.2885,9016
Ulsan,2017,10,Fri,14.49445,9762
Ulsan,2017,10,Sat,14.74505,9631
Ulsan,2017,11,Sun,17.60445,9547
Ulsan,2017,11,Mon,17.95275,9980
Ulsan,2017,11,Tues,15.58345,9388
Ulsan,2017,11,Wed,19.3389,11955
Ulsan,2017,11,Thu,17.79655,11011
Ulsan,2017,11,Fri,14.541,9149
Ulsan,2017,11,Sat,14.57485,8541
Ulsan,2017,12,Sun,21.94885,10848
Ulsan,2017,12,Mon,17.549,9024
Ulsan,2017,12,Tues,14.71885,8146
Ulsan,2017,12,Wed,14.39505,8271
Ulsan,2017,12,Thu,13.9475,7942
Ulsan,2017,12,Fri,18.62175,10323
Ulsan,2017,12,Sat,20.55095,10356
Ulsan,2018,01,Sun,15.56005,8353
Ulsan,2018,01,Mon,19.01935,10448
Ulsan,2018,01,Tues,16.75345,9685
Ulsan,2018,01,Wed,16.75055,9766
Ulsan,2018,01,Thu,12.98,7550
Ulsan,2018,01,Fri,13.1295,7529
Ulsan,2018,01,Sat,13.9262,7825
Ulsan,2018,02,Sun,13.99435,7417
Ulsan,2018,02,Mon,15.57065,8414
Ulsan,2018,02,Tues,13.7544,7964
Ulsan,2018,02,Wed,14.0024,8122
Ulsan,2018,02,Thu,16.0796,8904
Ulsan,2018,02,Fri,12.71715,7340
Ulsan,2018,02,Sat,13.31885,7305
Ulsan,2018,03,Sun,15.58085,8798
Ulsan,2018,03,Mon,13.18875,7756
Ulsan,2018,03,Tues,13.58945,8251
Ulsan,2018,03,Wed,11.96595,7484
Ulsan,2018,03,Thu,16.82755,10050
Ulsan,2018,03,Fri,15.8208,9944
Ulsan,2018,03,Sat,15.9539,9603
Ulsan,2018,04,Sun,19.1841,11242
Ulsan,2018,04,Mon,17.0805,10632
Ulsan,2018,04,Tues,13.22375,8428
Ulsan,2018,04,Wed,12.34205,8193
Ulsan,2018,04,Thu,12.41175,8245
Ulsan,2018,04,Fri,12.13525,8060
Ulsan,2018,04,Sat,11.53135,7354
Ulsan,2018,05,Sun,15.44865,9365
Ulsan,2018,05,Mon,15.48435,9904
Ulsan,2018,05,Tues,18.26285,11903
Ulsan,2018,05,Wed,17.0253,11255
Ulsan,2018,05,Thu,17.6193,11831
Ulsan,2018,05,Fri,13.5187,9129
Ulsan,2018,05,Sat,13.2169,8643
Ulsan,2018,06,Sun,19.9199,12160
Ulsan,2018,06,Mon,19.40655,12415
Ulsan,2018,06,Tues,15.8309,10781
Ulsan,2018,06,Wed,18.43555,12320
Ulsan,2018,06,Thu,16.8527,11473
Ulsan,2018,06,Fri,20.85575,14520
Ulsan,2018,06,Sat,21.43055,13804
Ulsan,2018,07,Sun,32.83715,19857
Ulsan,2018,07,Mon,32.1954,20618
Ulsan,2018,07,Tues,28.61515,18826
Ulsan,2018,07,Wed,25.125,16756
Ulsan,2018,07,Thu,23.05915,15395
Ulsan,2018,07,Fri,22.4642,15145
Ulsan,2018,07,Sat,23.9907,15441
Ulsan,2018,08,Sun,23.62155,15552
Ulsan,2018,08,Mon,22.99025,15798
Ulsan,2018,08,Tues,22.15475,15977
Ulsan,2018,08,Wed,26.74505,19192
Ulsan,2018,08,Thu,25.69355,18683
Ulsan,2018,08,Fri,25.6189,18724
Ulsan,2018,08,Sat,20.59255,14517
Ulsan,2018,09,Sun,33.2249,21714
Ulsan,2018,09,Mon,22.5066,15326
Ulsan,2018,09,Tues,20.70375,14517
Ulsan,2018,09,Wed,20.7461,14832
Ulsan,2018,09,Thu,20.23655,14440
Ulsan,2018,09,Fri,19.58245,13937
Ulsan,2018,09,Sat,28.74045,19625
Ulsan,2018,10,Sun,23.85675,14901
Ulsan,2018,10,Mon,28.33705,18509
Ulsan,2018,10,Tues,25.11835,17437
Ulsan,2018,10,Wed,25.81285,17565
Ulsan,2018,10,Thu,19.91325,13941
Ulsan,2018,10,Fri,17.5271,12330
Ulsan,2018,10,Sat,19.36565,12852
Ulsan,2018,11,Sun,28.021,15414
Ulsan,2018,11,Mon,28.2122,16125
Ulsan,2018,11,Tues,24.86215,15007
Ulsan,2018,11,Wed,23.5054,14427
Ulsan,2018,11,Thu,27.7675,16911
Ulsan,2018,11,Fri,30.63515,18580
Ulsan,2018,11,Sat,23.86415,13931
Ulsan,2018,12,Sun,38.45165,18921
Ulsan,2018,12,Mon,35.01245,18707
Ulsan,2018,12,Tues,25.96805,14101
Ulsan,2018,12,Wed,25.872,14464
Ulsan,2018,12,Thu,23.90385,13499
Ulsan,2018,12,Fri,23.1686,12962
Ulsan,2018,12,Sat,33.4141,17215
Ulsan,2019,01,Sun,25.9081,14032
Ulsan,2019,01,Mon,25.7283,14391
Ulsan,2019,01,Tues,27.62565,15992
Ulsan,2019,01,Wed,28.44395,16758
Ulsan,2019,01,Thu,27.11555,15960
Ulsan,2019,01,Fri,21.83775,12909
Ulsan,2019,01,Sat,21.4844,12134
Ulsan,2019,02,Sun,29.8284,15672
Ulsan,2019,02,Mon,29.48065,15936
Ulsan,2019,02,Tues,22.7125,12762
Ulsan,2019,02,Wed,23.39685,13422
Ulsan,2019,02,Thu,22.03675,12828
Ulsan,2019,02,Fri,22.5012,13106
Ulsan,2019,02,Sat,24.0181,13370
Ulsan,2019,03,Sun,30.59985,17579
Ulsan,2019,03,Mon,25.19405,14954
Ulsan,2019,03,Tues,19.8145,12411
Ulsan,2019,03,Wed,19.23705,12168
Ulsan,2019,03,Thu,19.39465,12443
Ulsan,2019,03,Fri,25.0004,15942
Ulsan,2019,03,Sat,26.08305,15825
Ulsan,2019,04,Sun,25.5979,15198
Ulsan,2019,04,Mon,29.56845,18136
Ulsan,2019,04,Tues,27.667,17656
Ulsan,2019,04,Wed,21.2391,13647
Ulsan,2019,04,Thu,21.23945,13923
Ulsan,2019,04,Fri,18.93285,12435
Ulsan,2019,04,Sat,21.99865,13836
Ulsan,2019,05,Sun,29.69515,18196
Ulsan,2019,05,Mon,29.2586,18265
Ulsan,2019,05,Tues,28.1343,18495
Ulsan,2019,05,Wed,31.6008,21086
Ulsan,2019,05,Thu,32.77945,22099
Ulsan,2019,05,Fri,31.5391,21405
Ulsan,2019,05,Sat,26.0472,16707
Ulsan,2019,06,Sun,45.10635,27385
Ulsan,2019,06,Mon,32.53795,20694
Ulsan,2019,06,Tues,29.10765,19525
Ulsan,2019,06,Wed,26.694,18241
Ulsan,2019,06,Thu,30.61945,20549
Ulsan,2019,06,Fri,26.60275,17947
Ulsan,2019,06,Sat,35.47394,22923
Ulsan,2019,07,Sun,44.11455,26529
Ulsan,2019,07,Mon,46.41886,29820
Ulsan,2019,07,Tues,43.58086,29388
Ulsan,2019,07,Wed,41.1602,27907
Ulsan,2019,07,Thu,34.7492,23585
Ulsan,2019,07,Fri,33.16499,22491
Ulsan,2019,07,Sat,32.09785,20359
Ulsan,2019,08,Sun,40.02395,25415
Ulsan,2019,08,Mon,37.9975,25198
Ulsan,2019,08,Tues,30.06185,21107
Ulsan,2019,08,Wed,34.8783,24099
Ulsan,2019,08,Thu,42.45344,29092
Ulsan,2019,08,Fri,41.28899,28703
Ulsan,2019,08,Sat,42.5813,28862
Ulsan,2019,09,Sun,43.65285,28069
Ulsan,2019,09,Mon,47.60904,31020
Ulsan,2019,09,Tues,33.77159,23746
Ulsan,2019,09,Wed,34.332,24296
