Year,Month,Hour,disQuantity(ton),disCount
2019,08,05,1177.421678,545205
2019,08,06,3028.754613,1338382
2019,08,07,3719.133878,2203839
2019,08,08,4436.57347,2888227
2019,08,09,4765.59261,2931557
2019,08,10,4115.180126,2469352
2019,08,11,3451.261792,2072546
2019,08,12,3206.531953,1954005
2019,08,13,3557.643426,1952468
2019,08,14,3306.37732,1801967
2019,08,15,3084.577588,1874425
2019,08,16,3341.160474,2045753
2019,08,17,3728.868017,2296363
2019,08,18,4478.214423,2869746
2019,08,19,6132.419648,4017250
2019,08,20,6211.229978,3936919
2019,08,21,5771.816133,3555245
2019,08,22,3722.139174,2219987
2019,08,23,2158.315118,1246073
2019,09,00,861.617495,472762
2019,09,01,393.489377,179851
2019,09,02,248.017049,78420
2019,09,03,204.549698,58662
2019,09,04,345.328068,129440
2019,09,05,886.046457,385022
2019,09,06,2638.180024,1149593
2019,09,07,3606.155975,2053711
2019,09,08,4223.394174,2702151
2019,09,09,4644.296348,2814182
2019,09,10,4103.508381,2444010
2019,09,11,3520.869954,2092626
2019,09,12,3255.733636,1990885
2019,09,13,3664.940271,2020664
2019,09,14,3472.911874,1911195
2019,09,15,3296.35891,2017196
2019,09,16,3527.992338,2167271
2019,09,17,3871.848024,2391687
2019,09,18,4629.03042,2951371
2019,09,19,5825.849166,3767397
2019,09,20,5526.158635,3537658
2019,09,21,5162.835045,3224416
2019,09,22,3332.279187,2025982
2019,09,23,1924.303556,1131752
2019,10,00,752.585281,417289
2019,10,01,366.533697,160985
2019,10,02,240.816484,72350
2019,10,03,215.857719,54090
2019,10,04,324.383642,121983
2019,10,05,764.072433,342752
2019,10,06,2365.7125,956184
2019,10,07,3412.690421,1912717
2019,10,08,3989.005225,2564042
2019,10,09,4336.124403,2711278
2019,10,10,3680.264102,2294015
2019,10,11,3183.224771,1948988
2019,10,12,3020.141204,1882882
2019,10,13,3367.036885,1933914
2019,10,14,3168.463737,1816171
2019,10,15,3036.683875,1921803
2019,10,16,3324.937762,2088355
2019,10,17,3693.890372,2329366
2019,10,18,4312.443642,2775951
2019,10,19,5110.2706,3354763
2019,10,20,4990.588965,3217934
2019,10,21,4369.077577,2760959
2019,10,22,2727.193456,1686904
2019,10,23,1600.470668,963481
2019,11,00,819.565074,381675
2019,11,01,375.487423,147113
2019,11,02,237.237965,67512
2019,11,03,197.672189,48983
2019,11,04,312.914387,104627
2019,11,05,738.040873,294861
2019,11,06,2214.981692,737640
2019,11,07,3452.1278,1646009
2019,11,08,4159.255013,2295273
2019,11,09,4666.459488,2520658
2019,11,10,4125.284768,2181927
2019,11,11,3604.375135,1890148
2019,11,12,3472.154568,1856592
2019,11,13,3923.325456,1939616
2019,11,14,3814.228877,1845361
2019,11,15,3692.748297,1974941
2019,11,16,4057.041295,2146931
2019,11,17,4440.094854,2327011
2019,11,18,4629.135071,2489858
2019,11,19,5306.006257,2934737
2019,11,20,5293.752066,2886447
2019,11,21,4584.628036,2424995
2019,11,22,2981.057007,1529095
2019,11,23,1776.854715,881130
2019,12,00,807.616215,362286
2019,12,01,388.266653,148516
2019,12,02,236.211676,68472
2019,12,03,233.524272,48087
2019,12,04,295.175577,92828
2019,12,05,671.726509,246856
2019,12,06,1972.848355,588866
